,driver_id,vehicle_model
0,0038263cc90dfa55d621a6425e46020136a318d12b974340f518892a6ef690ff,2
1,006ed08c7fe1278c64a3c5dbac78c7b0a9cec8d7316c510034e0d9dafaa96483,1
2,00c6dda371d7192310a3b12f05c8c82d56e1b7a39537c229b634839f9ad13d52,1
3,00ce195f11cfa5d5e228095893a866e2ec79cf3aa1c423d869485a5d06226872,1
4,010cbc4ccc307d3b4fd7214c8d6c76d700ec0561fc467ae1f9c21d940fd8bebd,1
5,01af51ec6c430f406fcde188aa86412b68870084ccda59ac34ddcbef3ce62628,1
6,01becb9efd8d1933ad310a978f5ef52cfb152dbe0e96fcce4aa6a33c5b581d61,1
7,01c193f1268abe9768117d4701ecb771bf366693580845d8763316981f854a3e,1
8,01dcd04b5482005a6aa05c81ea6b336ed21eee7413dcb4664af98aafaa14a1ba,1
9,01e8fe148acb969bb254cf41b0786b48d0c9b53313d51fc59c2e21ad49022af8,1
10,024bae9cc699944be50b0ae659818e0862226d8136b79d9e0f24de67d5cd5c55,1
11,029542daeea3d44698724400738de76fcba292d946a007e9b641eac022579609,1
12,02d2fdcb8c1396bb9a73f9805345c9a73a3c8b5dd5ca90c13c236abe107f3450,1
13,036b16380237d9bf2b86f0d25935f44257c696339b37588b6761d7b247d5bd18,2
14,03713c9bbf6502fc4a3a17229bab7f4172fb8f0892dc15829f5013a4eaed4f95,1
15,03df62a0373832031e829c59a3f62fbbc530682c65de32b944513836a2c6c169,2
16,03f10a583e3f6bb12b5aea34fc0c8b7b36e487f33abfeb155304d74056f64f46,1
17,04390d5328d80aba98c3b085f96c01981ae93e5eee734d27ce53b579ed51a226,1
18,043cc326fb8f32e3fb540d4405624f63d1a7ab6b846ccc7431052929457d8537,1
19,04570c114d2c0ba88baaeeb90370b7f9f716eeb4023fa6599d22af78ed05e81d,1
20,04d19fde0a08b17aca69491e714bea43565384d12a63626e08477662cc03780e,1
21,055cf4a88665a9876cbb5cdc3a32180b3b4c7ecd9e016e9253392e99b66642d4,4
22,05998b5353757975e2be6175605299ec4f602d6ad93d128378ca4f1e15e6db5a,1
23,05d4647dfd5ade5b4a0c61d80bfd2490a641b1e5be9e4849c7d7ccb87b8f9067,1
24,05fb3c9a7f20d8c60ade227ba6ed41510428c5d3e3847eac78eb486b06d2fae4,1
25,062b0179e39fbc83950c05c2fe24d4a72c49ed0ee09eaa9fae98038ed14a345f,1
26,062ffbc0bbc4c5f560b17f7711413359887d0a00c14bcbc90cacd8834e99a420,1
27,0630b704380436780189649e0af5882bce8196292c1ec11e84db7a0a71b89613,1
28,0638ef6493b8192ade0e0d8429306b7685fe1191cc6e1337fab13521922cf226,1
29,067ea1716caf605b5ba53949a46af0142ec2578bca0da293c2ac48b46d1bd2bd,1
30,0687424eae93efe2744d2285fae97153a6c3d78517a19278abade27bf543a7ea,1
31,06b9f69304903369e8048a708e104c4869617a17eb066a3a050440c509d90974,43
32,0720b8357f2f6a382bdb3830d157e6ce0da8d746089e8ad481b9e7acc0cfd71b,1
33,0788404dc6de6b88c3ad29014bdd7e5a46f8dfc2fef6e570c6da90d9eafa0080,1
34,07938e07c0edf5a657434ae8db124e8999fb2d2ab88f0409ce884fc6788a411e,2
35,07ab597160e8e179587b9aa2b7c6f70db31f45142a8be4053df1bd64956cb90c,1
36,080239add9f888eca882a482dac2185b569b748e6016e249728ae7ac50a6af0e,1
37,08e39eaad947960558803dc2798fe2b6b07e7f900320e6d06bdf5f5daec07c16,2
38,08eab99d92e1552eead8da191e5da60e7e6979fbc3cd82eef1f8aef70bd57979,1
39,0927d46c017c7e2429fa50171a05fe9661729dbda3f9074688719d0acae93a84,1
40,095fc8a03f18a4394a176146ac2407958070ad27555d9cd4313a57eb9bee9211,1
41,097c3eadf588b8a9586304c69144c2f40e312dd4c40ffb46adacd364adc50db0,4
