,driver_id,trip_count,total_trip_duration,total_trip_distance,number of days
17621,dbb58a782a8391f9362b61146ae301e107ef5d32fec11c4c80cb97a4c4f3b1fe,27,87463.0,67.38999999999999,10
17622,dbbaa9823577dbe33c54ad70c8fc1579a0fee8a33defb2ccc33bb5ce315d8b8d,26,56323.0,121.52999999999996,6
17623,dbbca7b7263207e853fd601cb10df2f46ad9c85aeacf6a9a44c4b640a83e6727,6,20869.0,27.489999999999988,3
17624,dbbcd3ff029200e0f5aa63097b6a24230f917f93ce4b32931c88a4116d9fa7b9,12,16441.0,28.339999999999993,7
17625,dbc1bc821c67314f0d1d0c2f8cf8984ca2a6f1e08f68f42a574553b967eb965a,29,38124.0,139.51999999999995,8
17626,dbc2ff4ec79060f1433824ea5cb3c11b4e1fa750144ab4cf9ab2921706bbaf26,4,6934.0,16.949999999999996,2
17627,dbc8eeac0e686f262b59ee0087737fee31ee6d5674a7a59a77d374a3e348f84c,15,29517.0,60.27999999999997,3
17628,dbcda34717d9485e861d384090b699f518692961518a9cc190c7790d3c5810d1,30,66651.0,162.77999999999992,10
17629,dbcf747d0d600ef83c3b4b6cda75e02de000fe6dac7bc55c17786e159b7d45ae,12,13364.0,33.99999999999997,4
17630,dbd010bfbb8c44f045e6003a08a504d2e135514db510a2a44ad12711902efbbe,1,1415.0,2.79,1
17631,dbd198fbce5832dc6754a19b31cd43ccb3cd81c3a074175bc898211fe3d4bd2f,46,22833.0,52.849999999999994,3
17632,dbd64dd953359ceff5f3309ef640b875636a2a89e90990ce87e37f70e9066f2e,5,20728.0,73.89999999999999,2
17633,dbd8e74463cec1c4ebd7b7d89413088db79c56d9f5b0c5a97da25046e02073a1,19,41734.0,101.18999999999997,5
17634,dbdf3634defc2ec26370fbbf22222f187d2288d5df49ecf5c7bd1175a31951fd,3,4530.0,14.889999999999993,3
17635,dbe5642b7d045307a5be6b5d2784c5973fe66b8c4e5b269b7cb25d23982bff78,2,3742.0,0.0999999999999999,1
17636,dbea0144b20f6efa50a98234ae4140ada671425b7375c4a04d6d0afa8b9fcb80,6,9511.0,21.369999999999994,2
17637,dbec2a0acb98021bd20163aa58773718113cde224f10e05190ba9927b91a6fe8,4,13009.0,17.089999999999996,3
17638,dbf612894c6ce65a6961bdb40a740c88744d0ee2920bb70e0ec0819cf510ff44,26,72882.0,87.34999999999995,6
17639,dbf88bdb65dbeeea67ceebbd705964fc346d6ddb662a0529e5b5e03cc43beef0,19,50116.0,101.05999999999997,8
17640,dbfa66a1dbd132219ff6557652413fc51d42b9ea0c3efbd335fe9a72cbd52b54,9,12447.0,27.639999999999997,7
